Kolom,Jumlah Outlier,Range Normal,% Outlier
student_id,0,60000.5 – 219998.5,0.0
age,0,10.0 – 34.0,0.0
study_hours_per_day_average,346,-1.25 – 9.55,0.4325
social_media_hours_average,0,-0.39 – 1.1,0.0
netflix_hours_average,0,-0.29 – 0.86,0.0
part_time_job,0,-1.5 – 2.5,0.0
attendance_percentage,0,0.1 – 1.3,0.0
sleep_hours_average,284,3.0 – 11.0,0.35500000000000004
diet_quality,0,-0.5 – 3.5,0.0
exercise_frequency_weekly,0,-0.57 – 1.71,0.0
internet_quality,0,-4.5 – 7.5,0.0
mental_health_rating,345,1.45 – 12.25,0.43125
extracurricular_participation,0,-1.5 – 2.5,0.0
previous_gpa,201,2.17 – 5.1,0.25125
semester,0,-5.5 – 14.5,0.0
stress_level,0,-0.6 – 10.6,0.0
dropout_risk,1582,0.0 – 0.0,1.9775
social_activity,0,-3.5 – 8.5,0.0
screen_time,356,2.1 – 17.3,0.445
access_to_tutoring,0,-1.5 – 2.5,0.0
family_income_range,0,-3.0 – 5.0,0.0
parental_support_level,0,-4.5 – 15.5,0.0
motivation_level,0,-4.5 – 15.5,0.0
exam_anxiety_score,0,-2.5 – 9.5,0.0
time_management_score,0,-3.7 – 14.7,0.0
exam_score,467,55.0 – 127.0,0.58375
